step,tag,value,wall_time
79,loss/train,0.28444567,0
79,accuracy/train,0.22,0
79,learning_rate,0.0006983372,0
80,loss/train,0.21652274,0
80,accuracy/train,0.22,0
80,learning_rate,0.00066342036,0
80,layer_0/weight_norm,0.3347693,0
80,layer_1/weight_norm,0.65723544,0
80,layer_2/weight_norm,0.12858187,0
80,loss/train,0.21652274,0
80,loss/validation,0.23262008,0
80,accuracy/train,0.22,0
80,accuracy/validation,0.22823107,0
81,loss/train,0.2895752,0
81,accuracy/train,0.2,0
81,learning_rate,0.00066342036,0
82,loss/train,0.27607659,0
82,accuracy/train,0.18,0
82,learning_rate,0.00066342036,0
83,loss/train,0.28498048,0
83,accuracy/train,0.14,0
83,learning_rate,0.00066342036,0
84,loss/train,0.24769849,0
84,accuracy/train,0.2,0
84,learning_rate,0.00066342036,0
85,loss/train,0.22732832,0
85,accuracy/train,0.24,0
85,learning_rate,0.00066342036,0
86,loss/train,0.22117205,0
86,accuracy/train,0.18,0
86,learning_rate,0.00066342036,0
87,loss/train,0.30727786,0
87,accuracy/train,0.3,0
87,learning_rate,0.00066342036,0
88,loss/train,0.26577863,0
88,accuracy/train,0.14,0
88,learning_rate,0.00066342036,0
89,loss/train,0.27897352,0
89,accuracy/train,0.2,0
89,learning_rate,0.00066342036,0
90,loss/train,0.26851436,0
90,accuracy/train,0.2,0
90,learning_rate,0.0006302493,0
90,layer_0/weight_norm,0.3347693,0
90,layer_1/weight_norm,0.65723544,0
90,layer_2/weight_norm,0.12858187,0
90,loss/train,0.26851436,0
90,loss/validation,0.2828125,0
90,accuracy/train,0.2,0
90,accuracy/validation,0.20105696,0
91,loss/train,0.23867308,0
91,accuracy/train,0.14,0
91,learning_rate,0.0006302493,0
92,loss/train,0.34397903,0
92,accuracy/train,0.16,0
92,learning_rate,0.0006302493,0
93,loss/train,0.2758523,0
93,accuracy/train,0.18,0
93,learning_rate,0.0006302493,0
94,loss/train,0.29396746,0
94,accuracy/train,0.18,0
94,learning_rate,0.0006302493,0
95,loss/train,0.2380389,0
95,accuracy/train,0.22,0
95,learning_rate,0.0006302493,0
96,loss/train,0.22121198,0
96,accuracy/train,0.16,0
96,learning_rate,0.0006302493,0
97,loss/train,0.27349854,0
97,accuracy/train,0.18,0
97,learning_rate,0.0006302493,0
98,loss/train,0.24271783,0
98,accuracy/train,0.26,0
98,learning_rate,0.0006302493,0
99,loss/train,0.29640576,0
99,accuracy/train,0.16,0
99,learning_rate,0.0006302493,0
